"Song_Title","Band","Album_Name","Year_of_First_Release","Single","Writers","Track_Number","Song_Duration","Record_Label","Key","Mode","Loudness","Tempo","Acousticness","Danceability","Energy","Instrumentalness","Liveness","Speechiness","Valence","Genres","Styles","Moods","Themes","British_Charts","UK_Debut_Date","UK_Peak_Pos","UK_Chart_Weeks","US_100","US_Debut_Date","US_Peak_Pos","US_Chart_Weeks","Year","AUS","CAN","GER","NLD","NZ","SWE","SWI","Certifications"
"C.o.d.","AC/DC","For Those About to Rock We Salute You","1981","No","Brian Johnson, Angus Young, Malcolm Young","7","03:19","Epic",0,1,-4.699,118.458,0.000827,0.51,0.935,0.528,0.133,0.0579,0.669,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Code Red","AC/DC","Power Up","2020","No","Angus Young, Malcolm Young","12","03:31","Columbia",2,1,-5.617,86.239,0.000123,0.549,0.731,1.28e-05,0.0655,0.035,0.622,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Cold Hearted Man","AC/DC","Backtracks","1978","No","Bon Scott, Angus Young, Malcolm Young","7","03:36",NA,7,1,-6.063,118.266,0.111,0.538,0.758,0.532,0.236,0.0409,0.352,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Come And Get It","AC/DC","Stiff Upper Lip","2000","No","Angus Young, Malcolm Young","10","04:02","EastWest",9,1,-5.226,89.778,0.0304,0.51,0.586,0.016,0.144,0.0294,0.614,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, Motivation, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Cover You In Oil","AC/DC","Ballbreaker","1995","Yes","Angus Young, Malcolm Young","2","04:32","EastWest",7,1,-5.822,197.839,0.00862,0.387,0.74,0.000113,0.345,0.0476,0.816,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, In Love, Sex, TGIF","Yes","15 Jun 1996","85","1","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Crabsody In Blue","AC/DC","Backtracks","1977","No","Bon Scott, Angus Young, Malcolm Young","6","04:43",NA,11,0,-5.823,103.938,0.122,0.364,0.657,0.588,0.161,0.0423,0.235,NA,NA,NA,NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Cyberspace","AC/DC","Backtracks","2000","No","Angus Young, Malcolm Young","12","02:55",NA,9,1,-4.684,157.272,0.00829,0.465,0.905,0.00442,0.0923,0.0487,0.759,"Pop/Rock","Hard Rock","Aggressive, Brooding, Rousing",NA,"No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Damned","AC/DC","Stiff Upper Lip","2000","No","Angus Young, Malcolm Young","9","03:52","EastWest",4,0,-4.98,88.798,0.137,0.516,0.443,0.00214,0.0549,0.0382,0.541,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Dramatic, Relaxed, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Drinking, Guys Night Out, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
"Danger","AC/DC","Fly on the Wall","1985","Yes","Brian Johnson, Angus Young, Malcolm Young","4","04:22","Legacy / Epic",2,1,-4.199,79.351,0.207,0.583,0.84,0.369,0.088,0.0385,0.565,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Rebellious, Aggressive, Boisterous, Outrageous, Playful, Rambunctious, Raucous, Reckless, Rousing, Tough, Brash, Confident, Rowdy, Visceral","Cool & Cocky, Guys Night Out, TGIF","Yes","06 Jul 1985","48","4","No","-","-","-","1985","69","-","-","-","47","-","-","-"
"Decibel","AC/DC","Black Ice","2008","No","Angus Young, Malcolm Young","9","03:33","Columbia",9,0,-3.438,96.436,0.00153,0.618,0.722,0.00361,0.137,0.0277,0.849,"Pop/Rock","Album Rock, Aussie Rock, Hard Rock, Heavy Metal, Arena Rock","Swaggering, Boisterous, Bravado, Brash, Confident, Gutsy, Outrageous, Playful, Sleazy, Street-Smart, Visceral","Cool & Cocky, Drinking, Guys Night Out, Partying, TGIF","No","-","-","-","No","-","-","-","-","-","-","-","-","-","-","-","-"
